product_category_name_english,avg_price,num_orders,avg_review_score,avg_freight,price_rank,demand_rank,review_rank,pricing_opportunity_score
fixed_telephony,224.9924150943396,265,3.683206106870229,17.57966037735849,0.9056603773584906,0.25471698113207547,0.05660377358490566,-0.056603773584905676
fashion_shoes,89.68856603773585,265,4.233716475095785,18.741132075471697,0.24528301886792453,0.25471698113207547,0.9056603773584906,0.41509433962264153
costruction_tools_garden,107.37391666666667,240,4.054166666666666,22.232208333333332,0.3584905660377358,0.2169811320754717,0.5283018867924528,0.2264150943396227
home_appliances_2,473.2724583333333,240,4.142857142857143,44.31245833333333,0.9811320754716981,0.2169811320754717,0.6792452830188679,0.16226415094339625
agro_industry_and_commerce,342.12485849056606,212,4.0,27.56415094339623,0.9622641509433962,0.18867924528301888,0.32075471698113206,0.01132075471698113
art,115.8021052631579,209,3.9371980676328504,19.35488038277512,0.4528301886792453,0.16981132075471697,0.20754716981132076,0.06037735849056605
computers,1098.3405418719212,203,4.175,48.45467980295566,1.0,0.1509433962264151,0.8301886792452831,0.19245283018867926
signaling_and_security,108.08658291457286,199,4.086294416243655,32.70261306532664,0.37735849056603776,0.1320754716981132,0.5849056603773585,0.2113207547169811
construction_tools_safety,208.9923711340206,194,3.844559585492228,20.201546391752576,0.8867924528301887,0.11320754716981132,0.11320754716981132,-0.08679245283018869
christmas_supplies,57.52169934640523,153,4.02054794520548,21.106535947712416,0.03773584905660377,0.09433962264150944,0.39622641509433965,0.18867924528301888
fashion_male_clothing,81.80166666666666,132,3.6412213740458017,16.306136363636362,0.18867924528301888,0.07547169811320754,0.03773584905660377,0.007547169811320753
fashion_underwear_beach,72.83625954198473,131,3.976923076923077,14.627404580152673,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.11320754716981132
furniture_bedroom,184.35254545454544,110,4.118181818181818,42.67927272727273,0.8301886792452831,0.03773584905660377,0.6415094339622641,0.10566037735849054
costruction_tools_tools,154.40728155339806,103,4.444444444444445,19.710873786407767,0.7358490566037735,0.018867924528301886,0.9811320754716981,0.25283018867924534
